,angry,crawled_utctime,created_time,haha,id,like,love,message,owner_id,sad,type
0,238,2018-03-22 08:42:43.929655,2016-09-29 12:00:00+00:00,66,114731331886956_1498212176872191,1612,19,"Chủ Tịch UBND TP Hạ Long - Phạm Hồng Hà trực tiếp đi cưỡng chế một nhà hàng nổi tại khu vực đường bao biển cột 5 tại TP Hạ Long. Chưa rõ sự việc ai đúng ai sai nhưng phong thái của vị cán bộ Chủ tịch này thì có vẻ không phù hợp với chức vụ mà ông ấy đang nắm giữ. Dáng dấp khệnh khạng cậy quyền thế, quát nạt thiếu văn minh là điều một người mang trọng trách không nên có. Chính sách bồi thường rõ ràng, tạo điều kiện cho doanh nghiệp , người lao động có địa điểm kinh doanh mới phù hợp thì có lẽ sẽ không khiến người dân bất mãn.

Chủ tịch :
- Yêu cầu chủ nhà di dời luôn

Dân thưa :

 - Em hỏi anh ?
- Em là chủ nhà em hỏi anh ?
- 1 năm em đóng thuế cho nhà nước từ 100 - 200 triệu

Chủ tịch chỉ thẳng mặt dân ra lệnh :
- không nói nhiều
- Lôi cổ đi cho tôi

Dân thưa : - Như vậy chủ tịch UBND TP Hạ Long quyết định giết dân.

Clip : Trần Tuấn Kiệt 

[K]",114731331886956,25,video
1,53,2018-03-22 08:42:43.929655,2016-09-29 09:00:00+00:00,4,114731331886956_1498209296872479,416,1,"Lũ chó bảo kê máy gặt !!!

fb Đỗ Thị Duyên 

[K]",114731331886956,4,video
2,4,2018-03-22 08:42:43.929655,2016-09-29 07:00:00+00:00,42,114731331886956_1498205903539485,595,13,"Cảm nghĩ về vụ Công an Đông Anh đánh phóng viên tác nghiệp.

Bức xúc vụ này lắm mà giờ mới làm xong cái vlog. Phóng viên là những người xông vào mặt trận để cập nhật tin tức về thực trạng xã hội cho chúng ta. Phóng viên bị đánh, dọa nạt, thì chúng ta phải lên tiếng bảo vệ họ.

Câu hỏi đuợc rất nhiều người hỏi rồi, hôm nay dám đánh phóng viên, ngày mai sẽ dám đánh ai? - chủ tịch nước???

fb Effy Nguyen

[K]",114731331886956,1,video
3,0,2018-03-22 08:42:43.929655,2016-09-28 14:00:00+00:00,40,114731331886956_1497303560296386,438,14,"Bọn tư bởn giãy chết thật biết nắm bắt cơ hội kinh doanh :v

Bạn sợ cảnh phải bì bõm lội nước hoặc phải bơi cùng chiếc xe trong biển nước mênh mông ? Đừng lo! Chúng tôi có giải pháp cho bạn.

Chiếc xe máy này có thể biến thành một chiếc cano cá nhân với chỉ một nút bấm. Với tình hình cả nước xuống hố như hiện nay thì đây quả là một giải pháp mang lại hiệu quả tối ưu!

Iphone 7 chống thấm nước và bây giờ là xe lội nước. Còn gì tuyệt vời hơn phải không nào :v

Mion.",114731331886956,0,video
4,2,2018-03-22 08:42:43.929655,2016-09-28 12:30:00+00:00,163,114731331886956_1497507816942627,776,5,"Bộ phim nói về một thành phố từng được ví là Hòn Ngọc.

Cho đến một ngày...

Trailer của Phym BOM TẤN "" THÀNH HỒ THẤT THỦ "" (Lake Chi Minh City Has Fallen ) (2016 & Forever)

Một siêu phẩm điện ảnh được hợp tác bởi hãng Phimmoi và Holywood. 

Mion.",114731331886956,15,video
5,19,2018-03-22 08:42:43.929655,2016-09-28 03:30:00+00:00,47,114731331886956_1497260853633990,1079,8,"Khi trời mưa ở Thành Hồ ... 

Clip: fb Nguyen Linh 
Kili",114731331886956,320,video
6,1,2018-03-22 08:42:43.929655,2016-09-27 04:30:00+00:00,692,114731331886956_1496414823718593,3266,49,"CA-NHẠC SỸ ĐÔNG DUY: NƯỚC HỒ HƠI THÚI !

Tối 26/9, nhà của ca sĩ - nhạc sĩ Đông Duy ở HCM bị ngập vì mưa. Anh ngay lập tức đã có một clip dạy bơi.

Nhưng anh kết luận: Nước Hồ hơi thúi!

fb Con Đường Việt Nam 
Kili",114731331886956,13,video
7,3,2018-03-22 08:42:43.929655,2016-09-27 00:30:00+00:00,51,114731331886956_1496198163740259,536,1,"[Lake Chí Minh thất thủ sau trận mưa tối qua] :3 :3 :3

Ôi khung cảnh hữu tình !! Anh soái ca chụp chiếc xe trôi sông thiêt là oai hùng lẫm lẫm !!
Tấm nhựa mới đắp đường bị lật lên + mực nước cao chảy xiết = 1 cái bẫy nguy hiểm :) Chất lượng thi công thật là tuyệt đỉnh !!!

fb Đoàn Phạm 

Mion/Kili",114731331886956,32,video
8,70,2018-03-22 08:42:43.929655,2016-09-24 10:16:44+00:00,48,114731331886956_1493617487331660,720,3,"Côn An Nhưn Dưn XHCN có khác !!! Phóng viên nhà báo bất kể là ai đều ĐẬP TUỐT !!! Vừa đập vừa chửi !!!

Đừng bưng bô nữa nhé các bác PV/Nhà báo ;) 

Clip: fb Thanh Niên 
Kili",114731331886956,7,video
9,411,2018-03-22 08:42:43.929655,2016-09-24 05:00:00+00:00,9,114731331886956_1493276794032396,1863,8,"[Viễn cảnh tương lai của Việt Nam]
Cảnh lính TQ đàn áp người dân Tây Tạng !!!

st
Kili",114731331886956,200,video
10,222,2018-03-22 08:42:43.929655,2016-09-24 03:00:00+00:00,132,114731331886956_1493272850699457,2132,10,"Bây giờ lại có thêm tầng lớp phóng viên oan nữa ;)
Đấy, các bạn biết thế nào là tự do ngôn luận theo định hướng xã hội chủ nghĩa chưa ??? :v :v :v
Các anh côn an cứ tiếp tục đánh đi nhóe, đánh cho đến khi nào PV hết bưng bô cho Cộng sản thì thôi nha :3 :3 :3 

Theo fb Trung Nghĩa 
Kili",114731331886956,15,video
11,51,2018-03-22 08:42:43.929655,2016-09-23 14:00:00+00:00,77,114731331886956_1492311547462254,1121,16,"Phiên tòa công khai??? 

Hãy nghe blogger JB Nguyễn Hữu Vinh chất vấn những tên CA khi chúng vô cớ bắt giữ không cho anh đến gần khu vực ""phiên toà công khai"" xử Anh Ba Sàm 

fb JB Nguyễn Hữu Vinh

[K]",114731331886956,8,video
12,5,2018-03-22 08:42:43.929655,2016-09-23 10:00:00+00:00,127,114731331886956_1492317610794981,940,10,"Sông HƯƠNG trong lòng phố Huế!!! 21/9/2016

Cả Nước Xuống Hố :v

Mion.",114731331886956,77,video
13,3,2018-03-22 08:42:43.929655,2016-09-23 09:01:00+00:00,352,114731331886956_1492314224128653,1373,27,"Thua khựa và Hàn vì không học chữ Hán ?? :v :v :v

Cười chút chơi :v

Mion.",114731331886956,4,video
14,0,2018-03-22 08:42:43.929655,2016-09-23 07:30:00+00:00,88,114731331886956_1492537357439673,352,3,"Mưa lớn Hà Lội thành sông, Thành Hồ hóa biển, Huế cũng không thoát biến thành hồ tắm cho Tây nó tập bơi ;)

Cúm ơn Boác và Đoảng quang vinh muôn năm ^^

Clip: fb Xì Trum 8
Kili",114731331886956,3,video
15,115,2018-03-22 08:42:43.929655,2016-09-22 11:00:00+00:00,43,114731331886956_1491493050877437,576,2,"[Tự do báo chí ở VN]
CÔNG AN XÃ BAO VÂY, CƯỚP MÁY ẢNH, ĐUỔI PHÓNG VIÊN NHƯ TỘI PHẠM ở Đăk Lăk

Vừa đến xin gặp làm việc, ông Phó chủ tịch xã liền yêu cầu công an thu máy ảnh, đuổi phóng viên ra ngoài. Thừa lệnh, nhiều công an và dân quân xã đã vây lại, hung hăng, khống chế “cướp” máy ảnh của phóng viên...

Sáng 21.9, ông Đỗ Văn Xuyền - Trưởng Công an huyện Krông Puk (Đắk Lắk) xác nhận có việc một số công an viên của xã Cư Pô (huyện Krông Puk) đã có hành vi không “đẹp” khi mời anh Đỗ Thanh Hải - phóng viên VTC News - ra khỏi khu vực cưỡng chế.

Trước đó, UBND xã Cư Pô đã cho cưỡng chế để lấy mặt bằng xây dựng nhà văn hóa thôn Nam Tân. Nắm được vụ việc, anh Hải cùng một số phóng viên báo khác đến hiện trường để theo dõi. Anh Hải đã đến gặp ông Nguyễn Viết Mùi - Phó chủ tịch UBND xã Cư Pô, người chủ trì buổi cưỡng chế - để xin phép tác nghiệp.

Tuy nhiên, khi anh vừa đến gặp, chưa kịp xuất trình giấy tờ, ông Mùi đã nói to vào loa cầm tay, gọi ông Lê Tuấn Anh - Trưởng Công an xã - đến kiểm tra và thu máy ảnh của anh Hải. Ngay sau đó, một công an xã đã lao tới xô anh Hải ra ngoài, đồng thời nhiều công an viên và lực lượng dân quân xã cũng xông vào khống chế thu máy ảnh của anh Hải.

Trao đổi với Dân Việt, ông Nguyễn Văn Huệ - Chủ tịch xã Ea Pô - cho biết đã nghe báo cáo lại sự việc.

Theo ông Huệ, nguyên nhân của vụ việc là do hiểu nhầm. Do anh Hải không xuất trình giấy tờ trước khi vào khu vực cưỡng chế nên lực lượng tại chỗ đang thực thi nhiệm vụ không cho vào vì sợ là đối tượng có ý đồ không tốt.

Ông Huệ cũng khẳng định, việc cưỡng chế của xã là hoàn toàn đúng pháp luật và mọi phóng viên, kể cả người dân đều có quyền quay phim, chụp ảnh nếu đứng ngoài phạm vi cưỡng chế.

Theo ông Xuyền, ngay sau khi xảy ra vụ việc, phóng viên Thanh Hải đã đến gặp ông để trình báo. Sau khi xem clip ghi lại vụ việc, ông Xuyền khẳng định, hành vi của các công an xã là sai.

“Công an xã đã có hành động không đẹp khi “mời” anh Hải ra ngoài. Tuy nhiên, theo tôi, đây chỉ là hiểu lầm” - ông Xuyền nói. Ông Xuyền cũng hứa sẽ có biện pháp chấn chỉnh ngay các công an viên đã có hành vi này.

Fb của phóng viên Hải: https://www.facebook.com/profile.php?id=100011622495578
Theo báo Dân Việt 
Kili",114731331886956,8,video
16,75,2018-03-22 08:42:43.929655,2016-09-20 08:36:58+00:00,3,114731331886956_1489602307733178,820,5,"[KẺ CƯỚP BỎ TÙ người BỊ CƯỚP !!! ]
Tự Do cho cô Cấn Thị Thiêu !!!
Toà kết án cô Cấn Thị Thêu 20 tháng tù giam. Ghê tởm công lý kiểu cộng sản !!!
Người dân biểu tình trước số 6 Quang Trung - trụ sở của CA TP Hà Nội.
Sau chút nghỉ ngơi ít ỏi, bà con và những nhà hoạt động tiếp tục phản đối bắt người trái phép và yêu cầu thả người.

fb Dũng Phi Hổ 
Kili",114731331886956,34,video
17,93,2018-03-22 08:42:43.929655,2016-09-19 12:00:00+00:00,49,114731331886956_1488494734510602,644,0,"Cùng xem lại clip con lợn xanh say xỉn chạy ngược chiều gây náo loạn trên đường Nam Kỳ Khởi Nghĩa hôm 15/9 nhé.

Sau mấy ngày, danh tính của con lợn xanh này đã được điểm mặt. Nó là Tổng cục Hải quan. 

Tương tự như vụ việc này, cách đây mấy hôm ở Hà Nội cũng có một con lợn xanh 80 chạy ngược chiều bị dân ép chạy lùi hàng chục mét. Chính quyền trả lời rằng con lợn xanh đó đeo bỉm ...giả. Câu trả lời cứ như đùa.

Câu hỏi đặt ra là những con lợn xanh vô pháp này sẽ bị xử lý như thế nào?

Ở tình huống tương tự như vậy, nếu là dân thường thì ai cũng biết hình phạt dựa theo luật là rất nặng. Chúng ta cùng chờ xem

http://m.danviet.vn/xa-hoi/xe-tong-cuc-hai-quan-nao-loan-tphcm-da-het-han-luu-hanh-6-thang-709281.html

------------

""Ngày 15/9/2016, xe biển số xanh 80A-017.95, đi ngược chiều trên đường Nam Kỳ Khởi Nghĩa, quận 3, thành phố HCM gây va quẹt. Lái xe đã uống rượu bia và rất say, có CSGT vẫn không chịu chấp hành và chạy tiếp! Người dân phải đứng trước đầu xe cản lại. Điều đáng nói là CSGT can người dân: ""Không có gì đâu!"" như tiếp tay cho tên tài xế say xỉn này!

fb An toàn giao thông - Văn hóa giao thông

Mion.",114731331886956,0,video
18,38,2018-03-22 08:42:43.929655,2016-09-19 09:30:00+00:00,0,114731331886956_1488528744507201,231,0,"[Người dân kêu gào khóc than thảm thiết]
Chúng bây phá rừng làm thủy điện. Chúng bây ăn chia nhiều cách. Để bây giờ hậu quả người dân phải chịu như thế này đây. Chúng bây có trách nhiệm hay không ?

http://tuoitre.vn/tin/chinh-tri-xa-hoi/20160914/video-dan-cuong-cuong-chay-lu-thuy-dien-song-bung-2/1171383.html
Giữa tiếng kêu khóc, sợ hãi khi dòng nước lũ ầm ầm đổ tới, nhiều người vẫn cố chạy cứu chút tài sản khi căn nhà đang bị nước nhận chìm bởi sự cố vỡ ống dẫn của thủy điện Sông Bung 2.

Kili",114731331886956,29,video
